timestamp,co,no2,o3,so2,pm25,pm10
2024-05-07 22:00:00,257.02,7.71,81.54,11.56,3.91,4.48
2024-05-07 23:00:00,260.35,6.94,78.68,11.09,3.9,4.37
2024-05-08 00:00:00,250.34,5.36,77.96,10.25,3.55,3.88
2024-05-08 01:00:00,233.65,4.28,75.1,9.3,2.68,2.92
2024-05-08 02:00:00,220.3,3.38,70.81,8.94,1.67,1.85
2024-05-08 03:00:00,213.62,3.3,62.94,8.82,1.37,1.51
2024-05-08 04:00:00,220.3,4.07,57.94,8.23,1.52,1.65
2024-05-08 05:00:00,230.31,4.24,68.66,8.94,1.58,1.71
2024-05-08 06:00:00,233.65,4.54,74.39,10.13,1.3,1.44
2024-05-08 07:00:00,236.99,5.44,75.1,11.21,0.99,1.15
2024-05-08 08:00:00,236.99,5.91,75.82,14.54,0.82,1.0
2024-05-08 09:00:00,240.33,5.57,77.96,18.36,0.87,1.05
2024-05-08 10:00:00,236.99,5.14,83.68,20.27,1.08,1.26
2024-05-08 11:00:00,236.99,4.58,87.98,20.03,1.34,1.53
2024-05-08 12:00:00,233.65,4.2,90.12,19.55,1.5,1.69
2024-05-08 13:00:00,230.31,4.16,95.84,19.55,1.51,1.71
2024-05-08 14:00:00,230.31,4.16,100.14,19.31,1.48,1.69
2024-05-08 15:00:00,230.31,4.16,98.71,19.07,1.43,1.64
2024-05-08 16:00:00,230.31,4.63,97.27,20.27,1.42,1.63
2024-05-08 17:00:00,230.31,5.48,94.41,21.7,1.38,1.6
2024-05-08 18:00:00,233.65,6.68,90.12,23.6,1.27,1.5
2024-05-08 19:00:00,240.33,6.85,85.12,17.88,1.25,1.55
2024-05-08 20:00:00,247.0,6.94,79.39,12.16,1.43,1.83
2024-05-08 21:00:00,247.0,6.77,74.39,10.61,1.63,2.11
2024-05-08 22:00:00,250.34,8.05,67.95,8.82,1.97,2.55
2024-05-08 23:00:00,253.68,10.28,57.94,6.79,2.33,3.03
2024-05-09 00:00:00,253.68,10.37,51.5,5.48,2.44,3.19
2024-05-09 01:00:00,250.34,9.08,46.49,5.13,2.44,3.23
2024-05-09 02:00:00,243.66,7.28,45.42,4.95,2.38,3.17
2024-05-09 03:00:00,240.33,5.65,45.78,4.65,2.27,3.01
2024-05-09 04:00:00,236.99,4.67,45.42,4.53,2.22,2.91
2024-05-09 05:00:00,236.99,4.28,44.35,4.65,2.23,2.86
2024-05-09 06:00:00,236.99,4.2,47.92,5.3,2.14,2.71
2024-05-09 07:00:00,240.33,4.46,58.65,6.74,1.89,2.39
2024-05-09 08:00:00,240.33,5.01,62.94,8.11,1.79,2.27
2024-05-09 09:00:00,240.33,4.84,66.52,10.73,1.88,2.38
2024-05-09 10:00:00,230.31,4.11,85.12,14.54,1.7,2.05
2024-05-09 11:00:00,230.31,3.94,91.55,16.93,1.87,2.22
2024-05-09 12:00:00,230.31,4.2,94.41,20.03,2.13,2.47
2024-05-09 13:00:00,230.31,4.93,95.84,24.32,2.3,2.6
2024-05-09 14:00:00,230.31,5.01,97.27,24.08,2.09,2.33
2024-05-09 15:00:00,230.31,4.93,95.84,22.41,1.55,1.76
