timestamp,co,no2,o3,so2,pm25,pm10
2024-05-07 22:00:00,206.95,2.74,72.24,1.03,0.8,0.96
2024-05-07 23:00:00,206.95,2.21,76.53,0.77,0.96,1.11
2024-05-08 00:00:00,205.28,1.41,62.94,0.47,1.13,1.26
2024-05-08 01:00:00,216.96,3.13,62.23,0.45,1.07,1.16
2024-05-08 02:00:00,236.99,6.51,62.23,0.61,1.05,1.14
2024-05-08 03:00:00,240.33,7.03,62.94,0.62,0.86,0.93
2024-05-08 04:00:00,236.99,4.63,70.81,0.57,0.5,0.57
2024-05-08 05:00:00,230.31,2.66,77.96,0.62,0.5,0.58
2024-05-08 06:00:00,226.97,2.08,81.54,0.75,0.5,0.6
2024-05-08 07:00:00,226.97,2.33,82.25,0.88,0.5,0.62
2024-05-08 08:00:00,230.31,2.25,83.68,0.85,0.5,0.64
2024-05-08 09:00:00,230.31,1.61,86.55,0.73,0.5,0.63
2024-05-08 10:00:00,230.31,1.02,90.84,0.7,0.5,0.63
2024-05-08 11:00:00,226.97,0.77,92.98,0.78,0.5,0.65
2024-05-08 12:00:00,226.97,0.68,92.98,0.9,0.66,0.82
2024-05-08 13:00:00,226.97,0.73,95.84,1.07,1.07,1.23
2024-05-08 14:00:00,223.64,0.78,98.71,1.19,1.33,1.49
2024-05-08 15:00:00,223.64,0.69,94.41,1.1,1.11,1.27
2024-05-08 16:00:00,223.64,0.65,90.84,1.25,1.11,1.29
2024-05-08 17:00:00,226.97,0.86,90.84,1.59,1.46,1.67
2024-05-08 18:00:00,223.64,1.09,89.41,1.39,1.29,1.48
2024-05-08 19:00:00,226.97,2.59,82.25,1.16,0.98,1.21
2024-05-08 20:00:00,226.97,4.03,75.1,1.12,0.95,1.26
2024-05-08 21:00:00,230.31,4.33,70.81,1.12,1.05,1.39
2024-05-08 22:00:00,230.31,4.84,67.95,1.18,1.22,1.6
2024-05-08 23:00:00,230.31,4.63,65.09,1.06,1.29,1.67
2024-05-09 00:00:00,230.31,3.43,64.37,0.79,1.26,1.6
2024-05-09 01:00:00,226.97,2.36,66.52,0.63,1.32,1.61
2024-05-09 02:00:00,226.97,1.8,69.38,0.6,1.38,1.66
2024-05-09 03:00:00,226.97,1.5,72.24,0.66,1.39,1.66
2024-05-09 04:00:00,226.97,1.35,77.96,0.83,1.35,1.6
2024-05-09 05:00:00,226.97,1.59,81.54,1.1,1.38,1.62
2024-05-09 06:00:00,226.97,1.91,80.82,1.27,1.37,1.62
2024-05-09 07:00:00,230.31,2.36,78.68,1.27,1.04,1.27
2024-05-09 08:00:00,230.31,2.42,79.39,1.22,0.63,0.84
2024-05-09 09:00:00,226.97,1.93,82.25,1.15,0.5,0.68
2024-05-09 10:00:00,226.97,1.41,85.83,1.09,0.5,0.66
2024-05-09 11:00:00,223.64,1.2,88.69,1.16,0.5,0.66
2024-05-09 12:00:00,223.64,1.12,91.55,1.31,0.64,0.8
2024-05-09 13:00:00,223.64,0.96,92.98,1.25,0.73,0.87
2024-05-09 14:00:00,223.64,0.76,87.98,0.98,0.58,0.7
2024-05-09 15:00:00,223.64,0.66,84.4,0.83,0.5,0.62
2024-05-09 16:00:00,223.64,0.67,82.97,0.75,0.5,0.61
2024-05-09 17:00:00,223.64,0.84,81.54,0.71,0.5,0.61
2024-05-09 18:00:00,220.3,1.02,79.39,0.7,0.5,0.62
