timestamp,co,no2,o3,so2,pm25,pm10
2024-05-07 22:00:00,213.62,3.26,72.24,2.29,1.28,1.51
2024-05-07 23:00:00,216.96,3.64,80.82,2.24,1.55,1.8
2024-05-08 00:00:00,220.3,2.18,86.55,2.26,1.69,1.92
2024-05-08 01:00:00,223.64,1.84,87.98,2.53,1.52,1.74
2024-05-08 02:00:00,226.97,1.82,86.55,2.74,1.16,1.39
2024-05-08 03:00:00,226.97,1.84,83.68,3.01,0.93,1.18
2024-05-08 04:00:00,230.31,2.31,78.68,3.61,0.9,1.23
2024-05-08 05:00:00,230.31,3.04,72.96,4.11,0.97,1.4
2024-05-08 06:00:00,233.65,4.37,68.66,4.65,1.1,1.61
2024-05-08 07:00:00,240.33,7.45,63.66,5.42,1.43,2.1
2024-05-08 08:00:00,243.66,8.4,62.23,6.14,1.62,2.36
2024-05-08 09:00:00,240.33,6.6,68.66,6.56,1.53,2.23
2024-05-08 10:00:00,230.31,2.61,84.4,4.77,0.96,1.39
2024-05-08 11:00:00,226.97,1.8,91.55,4.29,0.87,1.23
2024-05-08 12:00:00,226.97,1.46,95.84,4.11,0.84,1.19
2024-05-08 13:00:00,226.97,1.39,97.27,4.11,0.94,1.27
2024-05-08 14:00:00,226.97,1.46,100.14,4.29,1.09,1.42
2024-05-08 15:00:00,226.97,1.52,100.14,4.47,1.19,1.51
2024-05-08 16:00:00,226.97,1.65,97.27,4.35,1.25,1.58
2024-05-08 17:00:00,223.64,1.95,94.41,4.17,1.29,1.63
2024-05-08 18:00:00,223.64,2.36,92.98,4.11,1.34,1.69
2024-05-08 19:00:00,230.31,6.51,82.25,4.47,1.78,2.29
2024-05-08 20:00:00,243.66,12.68,66.52,4.95,2.54,3.33
2024-05-08 21:00:00,250.34,16.11,56.51,5.19,3.22,4.25
2024-05-08 22:00:00,263.69,22.62,42.92,5.72,4.32,5.75
2024-05-08 23:00:00,280.38,32.56,25.39,6.68,5.69,7.55
2024-05-09 00:00:00,290.39,38.39,16.27,7.63,6.74,8.78
2024-05-09 01:00:00,283.72,35.3,13.95,7.57,7.4,9.46
2024-05-09 02:00:00,263.69,26.05,16.63,5.72,7.13,9.04
2024-05-09 03:00:00,250.34,16.96,28.25,4.41,5.91,7.43
2024-05-09 04:00:00,230.31,3.98,71.53,3.87,3.08,3.83
2024-05-09 05:00:00,230.31,2.51,75.1,3.93,2.75,3.38
2024-05-09 06:00:00,233.65,2.91,72.96,3.93,2.67,3.31
2024-05-09 07:00:00,236.99,4.28,69.38,4.11,2.64,3.33
2024-05-09 08:00:00,236.99,5.06,67.23,4.89,2.6,3.34
2024-05-09 09:00:00,240.33,4.5,68.66,5.78,2.55,3.33
2024-05-09 10:00:00,233.65,3.04,78.68,5.07,2.27,2.91
2024-05-09 11:00:00,233.65,2.38,83.68,5.3,2.27,2.87
2024-05-09 12:00:00,233.65,2.03,87.26,5.78,2.47,3.05
2024-05-09 13:00:00,230.31,1.88,90.84,6.08,2.5,3.02
