timestamp,co,no2,o3,so2,pm25,pm10
2024-05-07 22:00:00,203.61,1.74,77.25,1.21,1.51,1.68
2024-05-07 23:00:00,203.61,1.52,69.38,1.12,1.3,1.48
2024-05-08 00:00:00,205.28,1.17,68.66,0.95,1.07,1.24
2024-05-08 01:00:00,206.95,1.04,69.38,0.92,1.0,1.16
2024-05-08 02:00:00,206.95,0.97,70.1,0.95,1.0,1.15
2024-05-08 03:00:00,208.62,0.96,72.24,0.97,1.0,1.14
2024-05-08 04:00:00,208.62,1.03,72.96,1.06,0.96,1.13
2024-05-08 05:00:00,210.29,1.21,70.1,1.21,0.97,1.19
2024-05-08 06:00:00,211.95,1.56,65.8,1.37,1.05,1.31
2024-05-08 07:00:00,213.62,2.68,61.51,1.56,1.19,1.51
2024-05-08 08:00:00,216.96,3.34,59.37,1.83,1.27,1.64
2024-05-08 09:00:00,216.96,2.57,61.51,1.97,1.28,1.65
2024-05-08 10:00:00,211.95,1.37,71.53,1.53,1.05,1.31
2024-05-08 11:00:00,211.95,1.0,77.96,1.46,0.98,1.2
2024-05-08 12:00:00,211.95,0.81,80.82,1.42,1.13,1.34
2024-05-08 13:00:00,211.95,0.77,87.26,1.28,1.26,1.44
2024-05-08 14:00:00,211.95,0.77,95.84,1.27,1.18,1.35
2024-05-08 15:00:00,211.95,0.78,98.71,1.27,1.12,1.28
2024-05-08 16:00:00,210.29,0.85,98.71,1.27,1.11,1.26
2024-05-08 17:00:00,210.29,1.01,98.71,1.24,1.23,1.39
2024-05-08 18:00:00,208.62,1.17,95.84,1.19,1.36,1.54
2024-05-08 19:00:00,210.29,2.12,90.12,1.53,1.64,1.9
2024-05-08 20:00:00,211.95,3.3,81.54,1.8,1.89,2.28
2024-05-08 21:00:00,213.62,3.81,75.1,1.77,1.97,2.44
2024-05-08 22:00:00,213.62,3.81,70.81,1.61,2.0,2.5
2024-05-08 23:00:00,213.62,3.47,67.23,1.4,1.99,2.47
2024-05-09 00:00:00,213.62,2.68,65.09,1.19,1.94,2.38
2024-05-09 01:00:00,211.95,2.25,62.94,1.12,1.92,2.33
2024-05-09 02:00:00,210.29,2.1,60.08,1.07,1.95,2.35
2024-05-09 03:00:00,210.29,2.03,57.94,1.03,1.99,2.39
2024-05-09 04:00:00,210.29,2.06,56.51,1.04,2.07,2.48
2024-05-09 05:00:00,211.95,2.23,54.36,1.1,2.17,2.6
2024-05-09 06:00:00,213.62,2.78,52.21,1.22,2.31,2.78
2024-05-09 07:00:00,220.3,4.84,47.92,1.49,2.53,3.08
2024-05-09 08:00:00,223.64,6.43,45.78,1.91,2.67,3.31
2024-05-09 09:00:00,223.64,5.27,50.78,2.44,2.72,3.4
2024-05-09 10:00:00,216.96,3.3,60.8,2.8,2.62,3.22
2024-05-09 11:00:00,216.96,2.21,66.52,2.89,2.64,3.22
2024-05-09 12:00:00,211.95,1.52,77.25,2.74,2.43,2.94
2024-05-09 13:00:00,208.62,0.84,90.12,1.58,1.72,2.04
2024-05-09 14:00:00,206.95,0.77,94.41,1.4,1.51,1.79
2024-05-09 15:00:00,206.95,0.78,95.84,1.37,1.46,1.74
2024-05-09 16:00:00,205.28,0.86,98.71,1.4,1.49,1.77
2024-05-09 17:00:00,205.28,1.07,100.14,1.49,1.57,1.86
2024-05-09 18:00:00,206.95,1.31,100.14,1.56,1.65,1.95
2024-05-09 19:00:00,211.95,3.47,91.55,2.12,1.97,2.36
2024-05-09 20:00:00,216.96,5.83,80.82,2.47,2.4,2.97
2024-05-09 21:00:00,216.96,6.51,73.67,2.35,2.61,3.31
2024-05-09 22:00:00,216.96,6.17,68.66,2.03,2.69,3.44
2024-05-09 23:00:00,216.96,5.57,66.52,1.71,2.71,3.43
2024-05-10 00:00:00,216.96,4.24,64.37,1.42,2.66,3.31
2024-05-10 01:00:00,213.62,3.77,58.65,1.22,2.71,3.32
2024-05-10 02:00:00,211.95,4.07,49.35,1.1,2.9,3.56
2024-05-10 03:00:00,210.29,4.24,42.2,1.04,3.15,3.87
2024-05-10 04:00:00,210.29,4.41,36.12,1.09,3.34,4.13
2024-05-10 05:00:00,210.29,4.5,32.9,1.21,3.5,4.32
2024-05-10 06:00:00,211.95,4.93,31.11,1.45,3.85,4.72
2024-05-10 07:00:00,216.96,7.37,28.97,1.97,4.46,5.42
2024-05-10 08:00:00,223.64,8.74,28.61,2.71,5.04,6.17
2024-05-10 09:00:00,226.97,7.54,36.12,4.11,5.56,6.78
2024-05-10 10:00:00,220.3,4.33,61.51,7.45,6.01,7.13
2024-05-10 11:00:00,216.96,3.0,73.67,8.11,7.01,8.09
2024-05-10 12:00:00,213.62,2.21,85.12,7.75,8.11,9.19
2024-05-10 13:00:00,205.28,1.08,100.14,3.37,4.92,5.52
2024-05-10 14:00:00,201.94,0.92,104.43,2.03,3.48,3.98
2024-05-10 15:00:00,201.94,0.92,107.29,1.76,3.15,3.66
2024-05-10 16:00:00,200.27,0.95,107.29,1.58,3.05,3.56
2024-05-10 17:00:00,201.94,1.15,105.86,1.59,3.14,3.62
2024-05-10 18:00:00,203.61,1.41,104.43,1.65,3.45,3.9
2024-05-10 19:00:00,206.95,2.25,101.57,2.12,4.02,4.54
2024-05-10 20:00:00,208.62,3.04,100.14,2.5,4.62,5.28
2024-05-10 21:00:00,210.29,3.21,101.57,2.71,5.47,6.26
2024-05-10 22:00:00,216.96,6.6,90.12,2.83,6.82,7.79
2024-05-10 23:00:00,223.64,9.34,74.39,2.59,7.91,9.06
2024-05-11 00:00:00,223.64,8.05,66.52,2.03,8.51,9.73
2024-05-11 01:00:00,216.96,5.74,62.23,1.58,8.84,10.08
2024-05-11 02:00:00,211.95,4.24,62.23,1.39,9.24,10.47
2024-05-11 03:00:00,211.95,3.34,67.95,1.52,9.64,10.82
2024-05-11 04:00:00,213.62,2.08,88.69,2.15,9.38,10.4
2024-05-11 05:00:00,213.62,1.97,87.98,2.09,8.65,9.58
2024-05-11 06:00:00,216.96,2.18,82.25,2.06,8.52,9.39
2024-05-11 07:00:00,216.96,3.04,75.82,2.12,8.35,9.16
2024-05-11 08:00:00,216.96,3.77,67.95,2.03,6.93,7.73
2024-05-11 09:00:00,213.62,3.34,64.37,1.85,5.63,6.4
2024-05-11 10:00:00,205.28,2.12,67.95,1.46,3.47,3.93
2024-05-11 11:00:00,200.27,1.5,70.1,1.24,2.09,2.35
2024-05-11 12:00:00,196.93,1.15,72.96,1.06,1.37,1.53
2024-05-11 13:00:00,193.6,0.96,76.53,0.91,0.96,1.09
2024-05-11 14:00:00,191.93,0.92,78.68,0.91,0.82,0.95
2024-05-11 15:00:00,191.93,0.88,81.54,0.92,0.75,0.88
2024-05-11 16:00:00,190.26,0.82,83.68,0.86,0.74,0.87
2024-05-11 17:00:00,191.93,0.92,85.12,0.88,0.85,1.01
2024-05-11 18:00:00,191.93,1.07,88.69,0.95,1.07,1.25
2024-05-11 19:00:00,193.6,1.48,92.98,1.27,1.36,1.59
2024-05-11 20:00:00,198.6,1.88,97.27,1.49,1.56,1.84
2024-05-11 21:00:00,201.94,1.99,97.27,1.48,1.55,1.86
2024-05-11 22:00:00,203.61,2.12,95.84,1.46,1.6,1.94
2024-05-11 23:00:00,203.61,2.08,87.98,1.43,1.79,2.14
2024-05-12 00:00:00,201.94,1.63,84.4,1.37,1.73,2.04
2024-05-12 01:00:00,203.61,1.44,83.68,1.37,1.57,1.83
2024-05-12 02:00:00,205.28,1.46,80.11,1.24,1.52,1.78
2024-05-12 03:00:00,206.95,1.52,75.82,1.1,1.53,1.78
2024-05-12 04:00:00,208.62,1.61,70.81,1.06,1.53,1.83
2024-05-12 05:00:00,208.62,1.8,65.8,1.04,1.55,1.89
2024-05-12 06:00:00,208.62,2.25,60.08,1.07,1.61,2.0
2024-05-12 07:00:00,210.29,3.68,54.36,1.21,1.74,2.2
2024-05-12 08:00:00,213.62,4.58,50.07,1.49,1.84,2.38
2024-05-12 09:00:00,211.95,3.64,53.64,1.94,1.88,2.45
2024-05-12 10:00:00,205.28,1.24,78.68,1.52,1.36,1.7
2024-05-12 11:00:00,203.61,0.9,83.68,1.46,1.36,1.68
2024-05-12 12:00:00,200.27,0.75,87.26,1.45,1.36,1.67
2024-05-12 13:00:00,200.27,0.65,91.55,1.3,1.26,1.55
2024-05-12 14:00:00,200.27,0.59,95.84,1.16,1.16,1.42
2024-05-12 15:00:00,200.27,0.56,98.71,1.03,0.97,1.2
2024-05-12 16:00:00,198.6,0.58,100.14,0.93,0.84,1.06
2024-05-12 17:00:00,198.6,0.7,98.71,0.95,0.83,1.06
2024-05-12 18:00:00,198.6,0.81,97.27,1.0,0.84,1.08
2024-05-12 19:00:00,201.94,2.4,90.12,1.31,0.97,1.27
2024-05-12 20:00:00,206.95,4.67,77.96,1.62,1.2,1.62
2024-05-12 21:00:00,210.29,6.08,67.95,1.77,1.36,1.91
2024-05-12 22:00:00,211.95,6.68,60.8,1.76,1.53,2.19
2024-05-12 23:00:00,211.95,6.6,53.64,1.56,1.62,2.34
2024-05-13 00:00:00,210.29,5.01,50.78,1.21,1.52,2.16
2024-05-13 01:00:00,208.62,4.58,48.64,1.4,1.52,2.11
2024-05-13 02:00:00,210.29,5.14,45.78,2.03,1.64,2.29
2024-05-13 03:00:00,211.95,5.83,43.63,2.71,1.8,2.53
2024-05-13 04:00:00,216.96,6.68,41.84,3.46,1.98,2.8
2024-05-13 05:00:00,220.3,7.37,40.05,4.11,2.17,3.05
2024-05-13 06:00:00,223.64,9.0,36.12,4.77,2.48,3.44
2024-05-13 07:00:00,233.65,13.19,26.46,4.29,2.92,4.05
2024-05-13 08:00:00,247.0,14.57,22.35,4.17,3.47,4.77
2024-05-13 09:00:00,260.35,14.57,26.11,4.65,4.01,5.42
2024-05-13 10:00:00,213.62,3.38,81.54,5.13,1.65,2.16
2024-05-13 11:00:00,206.95,1.5,90.84,3.1,1.38,1.75
2024-05-13 12:00:00,203.61,0.96,92.98,2.29,1.28,1.6
2024-05-13 13:00:00,201.94,0.93,92.98,2.03,1.19,1.49
2024-05-13 14:00:00,201.94,0.96,92.98,2.06,1.2,1.49
2024-05-13 15:00:00,200.27,1.01,91.55,2.06,1.26,1.56
2024-05-13 16:00:00,200.27,1.09,91.55,2.0,1.33,1.64
2024-05-13 17:00:00,200.27,1.29,91.55,1.91,1.43,1.76
2024-05-13 18:00:00,200.27,1.5,90.84,1.88,1.53,1.88
2024-05-13 19:00:00,208.62,5.91,78.68,2.29,2.0,2.51
2024-05-13 20:00:00,220.3,11.82,60.8,2.98,2.79,3.62
2024-05-13 21:00:00,226.97,15.25,49.35,3.46,3.47,4.57
2024-05-13 22:00:00,230.31,16.45,42.2,3.49,3.95,5.22
2024-05-13 23:00:00,223.64,13.02,41.84,2.59,3.75,4.99
2024-05-14 00:00:00,211.95,7.28,47.92,1.73,2.97,3.96
2024-05-14 01:00:00,205.28,4.37,50.78,1.4,2.41,3.21
2024-05-14 02:00:00,203.61,4.16,45.42,1.3,2.33,3.09
2024-05-14 03:00:00,203.61,4.03,41.84,1.16,2.31,3.05
2024-05-14 04:00:00,205.28,4.07,38.62,1.12,2.35,3.09
2024-05-14 05:00:00,206.95,4.58,33.97,1.21,2.47,3.25
2024-05-14 06:00:00,211.95,6.0,28.61,1.42,2.67,3.53
2024-05-14 07:00:00,220.3,10.28,21.28,1.97,3.13,4.17
2024-05-14 08:00:00,236.99,11.82,18.78,2.56,3.59,4.81
2024-05-14 09:00:00,243.66,10.8,22.53,3.13,3.91,5.24
2024-05-14 10:00:00,210.29,2.44,80.82,2.47,1.27,1.71
2024-05-14 11:00:00,206.95,1.25,85.83,1.89,1.2,1.59
2024-05-14 12:00:00,203.61,0.96,84.4,1.65,1.38,1.74
2024-05-14 13:00:00,201.94,0.78,89.41,1.39,1.16,1.42
2024-05-14 14:00:00,200.27,0.71,94.41,1.27,0.9,1.1
2024-05-14 15:00:00,198.6,0.67,94.41,1.22,0.8,0.97
2024-05-14 16:00:00,198.6,0.76,91.55,1.16,0.67,0.83
2024-05-14 17:00:00,198.6,0.91,91.55,1.13,0.59,0.74
2024-05-14 18:00:00,198.6,1.04,91.55,1.15,0.61,0.75
2024-05-14 19:00:00,200.27,1.54,88.69,1.62,0.78,0.97
2024-05-14 20:00:00,203.61,2.08,82.97,1.83,0.97,1.25
2024-05-14 21:00:00,205.28,2.29,79.39,1.74,1.06,1.36
2024-05-14 22:00:00,208.62,2.23,77.25,1.55,1.13,1.43
2024-05-14 23:00:00,211.95,1.99,74.39,1.33,1.09,1.38
2024-05-15 00:00:00,210.29,1.56,69.38,1.12,1.04,1.32
2024-05-15 01:00:00,210.29,1.46,65.09,1.13,1.11,1.42
2024-05-15 02:00:00,211.95,1.46,63.66,1.21,1.24,1.57
2024-05-15 03:00:00,213.62,1.46,62.94,1.25,1.35,1.7
2024-05-15 04:00:00,216.96,1.48,62.94,1.3,1.41,1.77
2024-05-15 05:00:00,216.96,1.56,63.66,1.37,1.47,1.83
2024-05-15 06:00:00,216.96,1.91,62.23,1.48,1.64,2.03
2024-05-15 07:00:00,220.3,3.17,57.94,1.67,1.96,2.42
2024-05-15 08:00:00,223.64,3.73,53.64,1.97,2.23,2.76
2024-05-15 09:00:00,223.64,3.04,54.36,2.32,2.54,3.11
2024-05-15 10:00:00,216.96,1.61,66.52,3.04,3.05,3.44
2024-05-15 11:00:00,211.95,1.14,75.1,3.19,3.18,3.47
2024-05-15 12:00:00,210.29,0.95,79.39,3.34,3.42,3.67
2024-05-15 13:00:00,208.62,0.86,82.25,3.49,3.81,4.03
2024-05-15 14:00:00,208.62,0.82,84.4,3.55,4.03,4.24
2024-05-15 15:00:00,206.95,0.77,85.12,3.22,3.9,4.11
2024-05-15 16:00:00,206.95,0.77,86.55,2.86,3.6,3.8
2024-05-15 17:00:00,206.95,0.89,86.55,2.62,3.33,3.53
2024-05-15 18:00:00,206.95,1.02,85.12,2.41,3.05,3.24
2024-05-15 19:00:00,208.62,1.5,82.25,2.53,2.82,3.06
2024-05-15 20:00:00,210.29,2.01,76.53,2.35,2.46,2.77
