timestamp,co,no2,o3,so2,pm25,pm10
2024-05-07 22:00:00,220.3,6.43,100.14,3.52,9.11,12.34
2024-05-07 23:00:00,230.31,10.11,92.98,3.87,10.78,14.28
2024-05-08 00:00:00,236.99,12.51,87.26,4.17,12.19,15.96
2024-05-08 01:00:00,240.33,13.19,82.97,4.41,13.06,16.97
2024-05-08 02:00:00,243.66,17.14,72.96,5.13,13.6,17.46
2024-05-08 03:00:00,236.99,15.59,69.38,4.53,12.51,16.02
2024-05-08 04:00:00,216.96,4.63,77.96,2.56,8.57,10.26
2024-05-08 05:00:00,211.95,2.51,71.53,1.59,5.81,6.29
2024-05-08 06:00:00,206.95,2.08,65.09,1.25,3.4,3.59
2024-05-08 07:00:00,208.62,1.69,62.23,0.95,1.57,1.67
2024-05-08 08:00:00,210.29,2.16,60.08,1.06,1.05,1.16
2024-05-08 09:00:00,216.96,2.72,62.23,1.22,1.01,1.13
2024-05-08 10:00:00,223.64,2.53,67.95,1.33,1.08,1.22
2024-05-08 11:00:00,223.64,2.06,75.82,1.34,1.27,1.42
2024-05-08 12:00:00,220.3,1.61,84.4,1.33,1.47,1.62
2024-05-08 13:00:00,220.3,1.21,95.84,1.36,1.58,1.73
2024-05-08 14:00:00,216.96,1.14,104.43,1.36,1.54,1.69
2024-05-08 15:00:00,216.96,1.17,110.15,1.39,1.35,1.52
2024-05-08 16:00:00,216.96,1.32,113.01,1.55,1.18,1.38
2024-05-08 17:00:00,216.96,1.59,113.01,1.64,1.09,1.31
2024-05-08 18:00:00,220.3,1.99,110.15,1.7,1.07,1.3
2024-05-08 19:00:00,220.3,3.0,105.86,2.03,1.11,1.36
2024-05-08 20:00:00,223.64,4.63,98.71,2.59,1.22,1.52
2024-05-08 21:00:00,226.97,5.57,91.55,3.01,1.34,1.68
2024-05-08 22:00:00,223.64,5.14,86.55,2.83,1.34,1.69
2024-05-08 23:00:00,223.64,4.28,85.12,2.41,1.27,1.59
2024-05-09 00:00:00,220.3,3.43,85.83,2.06,1.2,1.47
2024-05-09 01:00:00,220.3,2.66,85.83,1.85,1.15,1.38
2024-05-09 02:00:00,220.3,2.55,83.68,1.83,1.16,1.38
2024-05-09 03:00:00,223.64,2.53,80.82,1.85,1.23,1.44
2024-05-09 04:00:00,223.64,2.53,79.39,1.97,1.34,1.54
2024-05-09 05:00:00,223.64,2.57,78.68,2.18,1.45,1.65
2024-05-09 06:00:00,223.64,2.68,77.96,2.44,1.53,1.76
2024-05-09 07:00:00,226.97,2.87,76.53,2.71,1.68,1.92
2024-05-09 08:00:00,226.97,3.26,75.1,3.22,1.99,2.28
2024-05-09 09:00:00,230.31,3.51,75.82,4.29,2.56,2.9
2024-05-09 10:00:00,230.31,3.6,81.54,7.27,3.7,4.07
2024-05-09 11:00:00,233.65,3.3,87.26,8.23,3.99,4.41
2024-05-09 12:00:00,233.65,2.48,95.84,7.63,4.18,4.6
2024-05-09 13:00:00,230.31,2.38,104.43,7.33,4.88,5.34
2024-05-09 14:00:00,230.31,2.87,108.72,7.33,5.49,6.0
2024-05-09 15:00:00,226.97,3.51,111.58,7.57,5.75,6.32
2024-05-09 16:00:00,226.97,4.07,113.01,7.87,5.65,6.27
2024-05-09 17:00:00,223.64,3.9,113.01,7.15,5.15,5.76
2024-05-09 18:00:00,223.64,3.38,111.58,5.48,4.27,4.82
2024-05-09 19:00:00,223.64,2.33,104.43,3.1,2.99,3.41
2024-05-09 20:00:00,220.3,2.12,98.71,1.83,2.27,2.61
2024-05-09 21:00:00,220.3,1.84,97.27,1.37,2.15,2.47
2024-05-09 22:00:00,223.64,1.56,98.71,1.18,2.19,2.51
2024-05-09 23:00:00,223.64,1.61,98.71,1.27,2.22,2.57
2024-05-10 00:00:00,223.64,1.61,98.71,1.59,2.22,2.62
2024-05-10 01:00:00,223.64,2.23,92.98,2.15,2.16,2.58
2024-05-10 02:00:00,226.97,2.78,88.69,2.5,2.07,2.46
2024-05-10 03:00:00,226.97,3.21,85.83,3.25,1.87,2.26
2024-05-10 04:00:00,230.31,3.77,82.25,4.77,1.69,2.12
2024-05-10 05:00:00,236.99,4.46,77.25,6.85,1.6,2.08
2024-05-10 06:00:00,243.66,5.27,73.67,9.06,1.58,2.12
2024-05-10 07:00:00,247.0,6.08,70.1,10.73,1.59,2.2
2024-05-10 08:00:00,247.0,6.25,69.38,11.32,1.68,2.37
2024-05-10 09:00:00,247.0,6.08,70.81,11.32,1.85,2.59
2024-05-10 10:00:00,240.33,5.44,77.96,11.21,2.16,2.88
2024-05-10 11:00:00,236.99,4.54,87.26,11.21,2.81,3.5
2024-05-10 12:00:00,233.65,3.6,98.71,11.56,3.91,4.56
2024-05-10 13:00:00,226.97,2.38,114.44,10.01,4.45,4.96
2024-05-10 14:00:00,223.64,1.86,121.59,8.34,4.63,5.08
2024-05-10 15:00:00,220.3,1.67,125.89,7.03,4.46,4.88
2024-05-10 16:00:00,226.97,4.58,124.45,7.51,5.14,5.75
2024-05-10 17:00:00,233.65,9.17,121.59,8.7,6.02,6.94
2024-05-10 18:00:00,240.33,13.88,115.87,10.01,6.45,7.6
2024-05-10 19:00:00,250.34,20.56,107.29,11.8,6.7,8.04
2024-05-10 20:00:00,263.69,29.82,95.84,14.19,7.09,8.62
2024-05-10 21:00:00,283.72,37.36,84.4,16.93,7.74,9.38
2024-05-10 22:00:00,303.75,42.84,73.67,18.12,8.34,10.05
2024-05-10 23:00:00,317.1,47.98,60.08,17.17,9.07,10.77
2024-05-11 00:00:00,310.42,44.55,49.35,13.47,8.89,10.37
2024-05-11 01:00:00,283.72,32.56,43.27,9.18,7.63,8.82
2024-05-11 02:00:00,257.02,22.62,40.05,6.79,6.48,7.49
2024-05-11 03:00:00,236.99,16.62,37.55,6.02,5.87,6.82
2024-05-11 04:00:00,226.97,13.19,37.19,5.9,5.61,6.52
2024-05-11 05:00:00,220.3,10.28,37.55,5.07,5.4,6.25
2024-05-11 06:00:00,216.96,8.23,37.55,4.29,5.17,5.91
2024-05-11 07:00:00,213.62,7.11,43.63,4.29,4.95,5.56
2024-05-11 08:00:00,220.3,7.88,48.64,5.07,5.19,5.81
2024-05-11 09:00:00,226.97,8.83,55.07,6.14,5.65,6.34
2024-05-11 10:00:00,230.31,7.88,81.54,7.63,5.5,6.16
2024-05-11 11:00:00,226.97,7.28,94.41,7.57,5.39,6.03
2024-05-11 12:00:00,223.64,6.85,98.71,7.33,5.66,6.31
2024-05-11 13:00:00,220.3,6.43,101.57,6.68,5.55,6.21
2024-05-11 14:00:00,216.96,6.08,104.43,5.72,4.65,5.26
2024-05-11 15:00:00,216.96,6.0,101.57,5.19,3.9,4.46
2024-05-11 16:00:00,213.62,5.18,100.14,4.53,3.59,4.1
2024-05-11 17:00:00,211.95,4.5,98.71,4.05,3.96,4.5
2024-05-11 18:00:00,208.62,4.28,98.71,4.23,4.25,4.84
2024-05-11 19:00:00,210.29,4.8,100.14,4.41,4.62,5.21
2024-05-11 20:00:00,216.96,6.43,98.71,4.41,5.54,6.17
2024-05-11 21:00:00,220.3,7.11,92.98,4.35,5.84,6.48
2024-05-11 22:00:00,216.96,7.28,87.26,4.47,5.14,5.7
2024-05-11 23:00:00,213.62,7.03,80.82,4.71,3.9,4.34
2024-05-12 00:00:00,208.62,5.91,73.67,4.23,2.66,2.97
2024-05-12 01:00:00,203.61,4.33,67.23,3.13,1.62,1.83
2024-05-12 02:00:00,198.6,3.38,65.8,2.12,0.96,1.13
2024-05-12 03:00:00,198.6,2.51,70.81,1.62,0.81,0.96
2024-05-12 04:00:00,201.94,1.63,82.25,1.37,0.86,1.0
2024-05-12 05:00:00,205.28,1.54,85.12,1.25,0.91,1.06
2024-05-12 06:00:00,206.95,1.59,84.4,1.27,0.97,1.13
2024-05-12 07:00:00,206.95,1.65,83.68,1.25,0.99,1.16
2024-05-12 08:00:00,208.62,1.82,83.68,1.31,0.98,1.17
2024-05-12 09:00:00,208.62,1.76,84.4,1.33,0.99,1.19
2024-05-12 10:00:00,208.62,1.27,89.41,1.22,0.94,1.12
2024-05-12 11:00:00,208.62,1.08,91.55,1.28,1.0,1.19
2024-05-12 12:00:00,206.95,0.96,91.55,1.37,1.11,1.31
2024-05-12 13:00:00,206.95,0.96,91.55,1.53,1.08,1.28
2024-05-12 14:00:00,205.28,1.0,92.98,1.55,0.93,1.12
2024-05-12 15:00:00,205.28,1.04,94.41,1.56,0.87,1.06
2024-05-12 16:00:00,206.95,1.07,95.84,1.65,0.91,1.11
2024-05-12 17:00:00,206.95,1.11,95.84,1.67,0.95,1.15
2024-05-12 18:00:00,208.62,1.21,95.84,1.68,0.91,1.12
2024-05-12 19:00:00,208.62,1.36,92.98,1.71,0.81,1.03
2024-05-12 20:00:00,206.95,1.56,90.12,1.76,0.78,1.01
2024-05-12 21:00:00,208.62,1.5,87.98,1.7,0.82,1.04
2024-05-12 22:00:00,208.62,1.32,87.98,1.52,0.81,1.0
2024-05-12 23:00:00,208.62,1.24,87.26,1.51,0.8,0.96
2024-05-13 00:00:00,208.62,1.14,86.55,1.62,0.82,0.97
2024-05-13 01:00:00,210.29,1.05,85.83,1.76,0.85,1.01
2024-05-13 02:00:00,210.29,1.12,85.12,1.82,0.83,1.01
2024-05-13 03:00:00,211.95,1.12,85.12,1.71,0.74,0.92
2024-05-13 04:00:00,211.95,1.18,85.12,1.7,0.66,0.83
2024-05-13 05:00:00,213.62,1.24,85.83,1.79,0.61,0.77
2024-05-13 06:00:00,213.62,1.33,85.12,1.97,0.61,0.77
2024-05-13 07:00:00,216.96,1.48,85.12,2.0,0.61,0.76
2024-05-13 08:00:00,216.96,1.82,84.4,2.03,0.62,0.77
2024-05-13 09:00:00,216.96,1.91,83.68,2.06,0.59,0.75
2024-05-13 10:00:00,216.96,1.63,85.12,1.88,0.54,0.68
2024-05-13 11:00:00,216.96,1.35,85.83,1.76,0.5,0.62
2024-05-13 12:00:00,216.96,1.18,85.83,1.64,0.5,0.6
2024-05-13 13:00:00,213.62,1.15,87.98,1.67,0.5,0.6
2024-05-13 14:00:00,211.95,1.15,90.12,1.71,0.5,0.6
2024-05-13 15:00:00,210.29,1.2,90.12,1.79,0.5,0.62
2024-05-13 16:00:00,211.95,1.25,89.41,1.97,0.5,0.63
2024-05-13 17:00:00,213.62,1.32,87.98,2.12,0.59,0.71
2024-05-13 18:00:00,213.62,1.46,87.26,2.15,0.62,0.72
2024-05-13 19:00:00,213.62,1.71,86.55,2.0,0.5,0.59
2024-05-13 20:00:00,213.62,1.99,85.83,1.97,0.5,0.59
2024-05-13 21:00:00,213.62,2.08,85.83,1.97,0.5,0.6
2024-05-13 22:00:00,213.62,2.14,85.12,1.97,0.5,0.6
2024-05-13 23:00:00,216.96,2.31,82.97,1.85,0.5,0.61
2024-05-14 00:00:00,213.62,2.03,80.82,1.49,0.5,0.61
2024-05-14 01:00:00,213.62,1.61,79.39,1.28,0.5,0.59
2024-05-14 02:00:00,213.62,1.39,78.68,1.19,0.5,0.59
2024-05-14 03:00:00,216.96,1.26,76.53,1.1,0.5,0.59
2024-05-14 04:00:00,220.3,2.06,68.66,2.03,0.5,0.65
2024-05-14 05:00:00,220.3,2.68,61.51,2.71,0.5,0.7
2024-05-14 06:00:00,220.3,3.13,57.94,3.13,0.6,0.83
2024-05-14 07:00:00,220.3,3.38,56.51,3.28,0.68,0.93
2024-05-14 08:00:00,223.64,3.47,55.79,3.7,0.81,1.11
2024-05-14 09:00:00,226.97,3.17,57.22,4.11,1.01,1.34
2024-05-14 10:00:00,223.64,1.91,71.53,2.62,1.13,1.36
2024-05-14 11:00:00,223.64,1.52,77.96,2.21,1.07,1.26
2024-05-14 12:00:00,220.3,1.36,80.11,1.97,0.87,1.03
2024-05-14 13:00:00,220.3,1.32,77.25,1.82,0.94,1.07
2024-05-14 14:00:00,220.3,1.14,75.1,1.43,0.9,0.99
2024-05-14 15:00:00,220.3,1.1,77.96,1.3,0.9,0.97
2024-05-14 16:00:00,226.97,1.24,83.68,1.34,1.18,1.24
2024-05-14 17:00:00,223.64,1.39,89.41,1.49,1.12,1.18
2024-05-14 18:00:00,216.96,1.25,89.41,1.28,0.62,0.68
2024-05-14 19:00:00,216.96,1.22,88.69,1.04,0.5,0.56
2024-05-14 20:00:00,220.3,1.46,89.41,1.13,0.5,0.57
2024-05-14 21:00:00,223.64,1.65,87.98,1.36,0.5,0.59
2024-05-14 22:00:00,226.97,1.82,86.55,1.7,0.58,0.67
2024-05-14 23:00:00,230.31,2.21,84.4,2.24,0.8,0.91
2024-05-15 00:00:00,230.31,2.21,80.82,2.38,0.88,0.99
2024-05-15 01:00:00,230.31,3.34,72.24,3.31,1.15,1.31
2024-05-15 02:00:00,226.97,3.9,65.09,3.58,1.41,1.61
2024-05-15 03:00:00,226.97,3.77,60.8,3.34,1.5,1.7
2024-05-15 04:00:00,223.64,3.64,57.94,3.16,1.57,1.76
2024-05-15 05:00:00,223.64,3.6,55.07,3.1,1.63,1.82
2024-05-15 06:00:00,223.64,3.64,52.93,3.13,1.7,1.91
2024-05-15 07:00:00,223.64,3.56,51.5,2.98,1.76,2.0
2024-05-15 08:00:00,223.64,3.51,51.5,3.07,1.85,2.16
2024-05-15 09:00:00,226.97,3.17,54.36,3.13,1.89,2.25
2024-05-15 10:00:00,220.3,1.39,68.66,1.82,1.33,1.53
2024-05-15 11:00:00,216.96,1.17,73.67,1.79,1.29,1.46
2024-05-15 12:00:00,216.96,1.09,76.53,1.89,1.32,1.49
2024-05-15 13:00:00,216.96,1.05,79.39,1.94,1.16,1.32
