Parameter,Metric,Initial_Error,Final_Error,Growth_Percentage
co,MSE,0.009696460429310256,0.01907666141251822,96.7384031687861
co,MAE,0.07566672314492434,0.10179556329690484,34.531481034187216
o3,MSE,0.009455308425719653,0.03658049139326738,286.8778229778707
o3,MAE,0.07330987823146318,0.15784694012985304,115.31469419643395
so2,MSE,0.003059036537113382,0.019649309474951502,542.3365408212254
so2,MAE,0.027299869355399325,0.0938912093432429,243.9254896092506
pm25,MSE,0.009988450149345884,0.03918544266261425,292.30753597123766
pm25,MAE,0.05691130576088543,0.11644252649343437,104.60350529062038
pm10,MSE,0.014440853714203564,0.04020675615962304,178.42367878899677
pm10,MAE,0.07196260131778187,0.12788711555117926,77.7133027563006
